titles,urls,ratings,n_favs,genres,authors
Berserk,https://myanimelist.net/manga/2/Berserk,9.47,117055.0,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Miura, Kentarou', 'Studio Gaga']"
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,9.3,40868.0,"['Action', 'Adventure', 'Mystery', 'Supernatural']","['Araki, Hirohiko']"
Vagabond,https://myanimelist.net/manga/656/Vagabond,9.23,36611.0,"['Action', 'Adventure', 'Award Winning']","['Inoue, Takehiko', 'Yoshikawa, Eiji']"
One Piece,https://myanimelist.net/manga/13/One_Piece,9.21,109530.0,"['Action', 'Adventure', 'Fantasy']","['Oda, Eiichiro']"
Monster,https://myanimelist.net/manga/1/Monster,9.15,19435.0,"['Award Winning', 'Drama', 'Mystery']","['Urasawa, Naoki']"
Slam Dunk,https://myanimelist.net/manga/51/Slam_Dunk,9.07,14534.0,"['Award Winning', 'Sports']","['Inoue, Takehiko']"
Fullmetal Alchemist,https://myanimelist.net/manga/25/Fullmetal_Alchemist,9.04,29466.0,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']","['Arakawa, Hiromu']"
Vinland Saga,https://myanimelist.net/manga/642/Vinland_Saga,9.04,29755.0,"['Action', 'Adventure', 'Award Winning', 'Drama']","['Yukimura, Makoto']"
Grand Blue,https://myanimelist.net/manga/70345/Grand_Blue,9.03,16559.0,[],"['Inoue, Kenji', 'Yoshioka, Kimitake']"
Oyasumi Punpun,https://myanimelist.net/manga/4632/Oyasumi_Punpun,9.02,48397.0,"['Drama', 'Slice of Life']","['Asano, Inio']"
Kingdom,https://myanimelist.net/manga/16765/Kingdom,9.0,14041.0,"['Action', 'Award Winning']","['Hara, Yasuhisa']"
Houseki no Kuni,https://myanimelist.net/manga/44489/Houseki_no_Kuni,8.96,12741.0,"['Action', 'Drama', 'Fantasy']","['Ichikawa, Haruko']"
20th Century Boys,https://myanimelist.net/manga/3/20th_Century_Boys,8.95,18096.0,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']","['Urasawa, Naoki']"
Ashita no Joe,https://myanimelist.net/manga/1303/Ashita_no_Joe,8.94,3930.0,"['Drama', 'Slice of Life', 'Sports']","['Kajiwara, Ikki', 'Chiba, Tetsuya']"
Monogatari Series: First Season,https://myanimelist.net/manga/14893/Monogatari_Series__First_Season,8.93,2987.0,"['Action', 'Comedy', 'Mystery', 'Romance', 'Supernatural']","['NISIO, ISIN', 'VOFAN']"
Real,https://myanimelist.net/manga/657/Real,8.92,3387.0,"['Drama', 'Sports']","['Inoue, Takehiko']"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,8.92,27791.0,"['Award Winning', 'Comedy']","['Akasaka, Aka']"
Mikkakan no Koufuku,https://myanimelist.net/manga/126479/Mikkakan_no_Koufuku,8.92,998.0,[],"['Miaki, Sugaru']"
Monogatari Series: Second Season,https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season,8.91,698.0,"['Comedy', 'Drama', 'Mystery', 'Supernatural']","['NISIO, ISIN', 'VOFAN']"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,https://myanimelist.net/manga/123992/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e__2-nensei-hen,8.89,2047.0,[],"['Tomose, Shunsaku', 'Kinugasa, Shougo']"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,8.89,7716.0,[],"['Tomose, Shunsaku', 'Kinugasa, Shougo']"
GTO,https://myanimelist.net/manga/336/GTO,8.89,10833.0,"['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi']","['Fujisawa, Tooru']"
Yotsuba to!,https://myanimelist.net/manga/104/Yotsuba_to,8.88,15402.0,"['Award Winning', 'Comedy', 'Slice of Life']","['Azuma, Kiyohiko']"
3-gatsu no Lion,https://myanimelist.net/manga/1224/3-gatsu_no_Lion,8.88,3880.0,"['Award Winning', 'Drama', 'Slice of Life']","['Umino, Chika']"
Koe no Katachi,https://myanimelist.net/manga/56805/Koe_no_Katachi,8.86,22007.0,"['Award Winning', 'Drama']","['Ooima, Yoshitoki']"
Monogatari Series: Final Season,https://myanimelist.net/manga/44227/Monogatari_Series__Final_Season,8.85,449.0,"['Comedy', 'Mystery', 'Supernatural']","['NISIO, ISIN', 'VOFAN']"
Haikyuu!!,https://myanimelist.net/manga/35243/Haikyuu,8.84,17480.0,"['Award Winning', 'Sports']","['Furudate, Haruichi']"
Akatsuki no Yona,https://myanimelist.net/manga/21525/Akatsuki_no_Yona,8.83,13451.0,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Kusanagi, Mizuho']"
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,https://myanimelist.net/manga/34053/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_8__Twilight_of_the_Golden_Witch,8.83,1347.0,"['Drama', 'Fantasy', 'Mystery', 'Supernatural']","['Natsumi, Kei', 'Ryukishi07']"
Ookami to Koushinryou,https://myanimelist.net/manga/9115/Ookami_to_Koushinryou,8.83,4047.0,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","['Hasekura, Isuna', 'Ayakura, Juu']"
Kaze no Tani no Nausicaä,https://myanimelist.net/manga/651/Kaze_no_Tani_no_Nausicaä,8.82,3245.0,"['Action', 'Adventure', 'Award Winning', 'Fantasy', 'Supernatural']","['Miyazaki, Hayao']"
86,https://myanimelist.net/manga/104039/86,8.81,2626.0,"['Action', 'Drama', 'Sci-Fi']","['Shirabi', 'Asato, Asato']"
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de,8.79,12698.0,[],"['Taguchi, Shouichi', 'Miaki, Sugaru']"
Re:Zero kara Hajimeru Isekai Seikatsu,https://myanimelist.net/manga/74697/Re_Zero_kara_Hajimeru_Isekai_Seikatsu,8.79,4980.0,"['Drama', 'Fantasy', 'Suspense']","['Nagatsuki, Tappei', 'Ootsuka, Shinichirou']"
Mushoku Tensei: Isekai Ittara Honki Dasu,https://myanimelist.net/manga/70261/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,8.78,6413.0,[],"['Rifujin na Magonote', 'Sirotaka']"
Nana,https://myanimelist.net/manga/28/Nana,8.78,10601.0,"['Award Winning', 'Drama', 'Romance', 'Slice of Life']","['Yazawa, Ai']"
Uchuu Kyoudai,https://myanimelist.net/manga/14483/Uchuu_Kyoudai,8.78,1410.0,"['Award Winning', 'Drama', 'Sci-Fi']","['Koyama, Chuuya']"
Made in Abyss,https://myanimelist.net/manga/91941/Made_in_Abyss,8.77,9816.0,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']","['Tsukushi, Akihito']"
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://myanimelist.net/manga/40171/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,8.77,4065.0,"['Comedy', 'Romance']","['Watari, Wataru', 'Ponkan⑧']"
Chainsaw Man,https://myanimelist.net/manga/116778/Chainsaw_Man,8.76,76307.0,"['Action', 'Award Winning', 'Supernatural']","['Fujimoto, Tatsuki']"
One Punch-Man,https://myanimelist.net/manga/44347/One_Punch-Man,8.75,36903.0,"['Action', 'Comedy']","['Murata, Yusuke', 'ONE']"
Hunter x Hunter,https://myanimelist.net/manga/26/Hunter_x_Hunter,8.73,22326.0,"['Action', 'Adventure', 'Fantasy']","['Togashi, Yoshihiro']"
Mushishi,https://myanimelist.net/manga/418/Mushishi,8.72,2710.0,"['Award Winning', 'Fantasy', 'Mystery', 'Supernatural']","['Urushibara, Yuki']"
Utsuro no Hako to Zero no Maria,https://myanimelist.net/manga/55215/Utsuro_no_Hako_to_Zero_no_Maria,8.72,5274.0,"['Action', 'Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural', 'Suspense']","['Mikage, Eiji', 'Tetsuo']"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,https://myanimelist.net/manga/86119/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen,8.72,768.0,[],"['Shiina, You', 'Kazuki, Miya']"
Hajime no Ippo,https://myanimelist.net/manga/7/Hajime_no_Ippo,8.71,6253.0,"['Award Winning', 'Sports']","['Morikawa, George']"
Sayonara Eri,https://myanimelist.net/manga/145863/Sayonara_Eri,8.71,4343.0,[],"['Fujimoto, Tatsuki']"
Death Note,https://myanimelist.net/manga/21/Death_Note,8.7,31147.0,"['Supernatural', 'Suspense']","['Obata, Takeshi', 'Ohba, Tsugumi']"
Kokou no Hito,https://myanimelist.net/manga/7375/Kokou_no_Hito,8.7,4623.0,"['Drama', 'Sports']","['Sakamoto, Shinichi']"
Beck,https://myanimelist.net/manga/145/Beck,8.69,4679.0,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Slice of Life']","['Sakuishi, Harold']"
Shoujo Shuumatsu Ryokou,https://myanimelist.net/manga/72467/Shoujo_Shuumatsu_Ryokou,8.69,5243.0,"['Adventure', 'Award Winning', 'Slice of Life']",['Tsukumizu']
Solo Leveling,https://myanimelist.net/manga/121496/Solo_Leveling,8.69,39682.0,"['Action', 'Adventure', 'Fantasy']","['Chugong', 'Jang, Sung-rak', 'Disciples']"
The Horizon,https://myanimelist.net/manga/125036/The_Horizon,8.68,3952.0,"['Adventure', 'Drama']","['Jeong, Ji-Hoon']"
Kono Oto Tomare!,https://myanimelist.net/manga/45143/Kono_Oto_Tomare,8.68,2339.0,[],"['Sakura, Amyuu']"
Yokohama Kaidashi Kikou,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou,8.68,4863.0,"['Award Winning', 'Drama', 'Sci-Fi', 'Slice of Life']","['Ashinano, Hitoshi']"
Akira,https://myanimelist.net/manga/664/Akira,8.68,6247.0,"['Action', 'Award Winning', 'Sci-Fi']","['Otomo, Katsuhiro']"
Dorohedoro,https://myanimelist.net/manga/1133/Dorohedoro,8.68,12198.0,"['Action', 'Comedy', 'Fantasy', 'Horror']","['Hayashida, Q']"
Natsume Yuujinchou,https://myanimelist.net/manga/1859/Natsume_Yuujinchou,8.67,2098.0,"['Drama', 'Supernatural']","['Midorikawa, Yuki']"
Yagate Kimi ni Naru,https://myanimelist.net/manga/88660/Yagate_Kimi_ni_Naru,8.67,9159.0,"['Drama', 'Girls Love']","['Nakatani, Nio']"
JoJo no Kimyou na Bouken Part 9: The JoJoLands,https://myanimelist.net/manga/139629/JoJo_no_Kimyou_na_Bouken_Part_9__The_JoJoLands,8.67,377.0,"['Action', 'Adventure', 'Supernatural']","['Araki, Hirohiko']"
Kozure Ookami,https://myanimelist.net/manga/904/Kozure_Ookami,8.66,1456.0,[],"['Koike, Kazuo', 'Kojima, Goseki']"
Kimi no Suizou wo Tabetai,https://myanimelist.net/manga/117077/Kimi_no_Suizou_wo_Tabetai,8.66,348.0,"['Drama', 'Romance']","['Sumino, Yoru']"
"""Oshi no Ko""",https://myanimelist.net/manga/126146/Oshi_no_Ko,8.65,10091.0,"['Drama', 'Supernatural']","['Akasaka, Aka', 'Yokoyari, Mengo']"
Zaregoto Series,https://myanimelist.net/manga/9726/Zaregoto_Series,8.65,1125.0,"['Action', 'Drama', 'Mystery', 'Supernatural']","['NISIO, ISIN', 'Take']"
Shinyaku Toaru Majutsu no Index,https://myanimelist.net/manga/24875/Shinyaku_Toaru_Majutsu_no_Index,8.65,1151.0,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural']","['Kamachi, Kazuma', 'Haimura, Kiyotaka']"
Koten-bu Series,https://myanimelist.net/manga/35513/Koten-bu_Series,8.65,603.0,"['Adventure', 'Mystery']","['Yonezawa, Honobu']"
ReLIFE,https://myanimelist.net/manga/78523/ReLIFE,8.65,11864.0,"['Comedy', 'Drama', 'Romance', 'Slice of Life']","['Yayoi, Sou']"
Overlord,https://myanimelist.net/manga/81669/Overlord,8.65,3784.0,"['Action', 'Fantasy', 'Supernatural']","['Maruyama, Kugane', 'so-bin']"
Blue Period,https://myanimelist.net/manga/107931/Blue_Period,8.65,7832.0,"['Award Winning', 'Drama']","['Yamaguchi, Tsubasa']"
Violet Evergarden,https://myanimelist.net/manga/98930/Violet_Evergarden,8.64,723.0,"['Drama', 'Fantasy']","['Akatsuki, Kana', 'Takase, Akiko']"
Aria,https://myanimelist.net/manga/81/Aria,8.63,2477.0,"['Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Slice of Life']","['Amano, Kozue']"
Banana Fish,https://myanimelist.net/manga/756/Banana_Fish,8.63,2218.0,"['Action', 'Adventure', 'Drama']","['Yoshida, Akimi']"
Golden Kamuy,https://myanimelist.net/manga/85968/Golden_Kamuy,8.63,4760.0,"['Action', 'Adventure', 'Award Winning']","['Noda, Satoru']"
Kono Subarashii Sekai ni Shukufuku wo!,https://myanimelist.net/manga/60553/Kono_Subarashii_Sekai_ni_Shukufuku_wo,8.62,2728.0,"['Adventure', 'Comedy', 'Fantasy']","['Mishima, Kurone', 'Akatsuki, Natsume']"
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",https://myanimelist.net/manga/114043/Umarekawattemo_Mata_Watashi_to_Kekkon_shitekuremasu_ka,8.62,774.0,[],"['Morinaga, Miku']"
Gintama,https://myanimelist.net/manga/44/Gintama,8.62,8208.0,"['Action', 'Comedy', 'Sci-Fi']","['Sorachi, Hideaki']"
Kino no Tabi: The Beautiful World,https://myanimelist.net/manga/399/Kino_no_Tabi__The_Beautiful_World,8.62,482.0,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","['Sigsawa, Keiichi', 'Kuroboshi, Kouhaku']"
Pluto,https://myanimelist.net/manga/745/Pluto,8.61,4852.0,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']","['Urasawa, Naoki', 'Tezuka, Osamu']"
Mob Psycho 100,https://myanimelist.net/manga/60783/Mob_Psycho_100,8.61,5481.0,"['Action', 'Award Winning', 'Comedy', 'Supernatural']",['ONE']
Sousou no Frieren,https://myanimelist.net/manga/126287/Sousou_no_Frieren,8.61,3683.0,"['Adventure', 'Award Winning', 'Drama', 'Fantasy']","['Yamada, Kanehito', 'Abe, Tsukasa']"
Tian Guan Ci Fu,https://myanimelist.net/manga/130826/Tian_Guan_Ci_Fu,8.61,613.0,"['Action', 'Adventure', 'Boys Love', 'Supernatural']",['Mo Xiang Tong Xiu']
Spy x Family,https://myanimelist.net/manga/119161/Spy_x_Family,8.6,20012.0,"['Action', 'Comedy']","['Endou, Tatsuya']"
Bungou Stray Dogs: Beast,https://myanimelist.net/manga/123006/Bungou_Stray_Dogs__Beast,8.6,548.0,"['Action', 'Supernatural']","['Asagiri, Kafka', 'Hoshikawa, Shiwasu']"
Hi no Tori (1967),https://myanimelist.net/manga/1325/Hi_no_Tori_1967,8.6,672.0,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural']","['Tezuka, Osamu']"
Ao Ashi,https://myanimelist.net/manga/102256/Ao_Ashi,8.6,1360.0,"['Award Winning', 'Sports']","['Kobayashi, Yuugo', 'Ueno, Naohiko']"
Seishun Buta Yarou Series,https://myanimelist.net/manga/70399/Seishun_Buta_Yarou_Series,8.6,871.0,"['Drama', 'Romance', 'Supernatural']","['Kamoshida, Hajime', 'Mizoguchi, Keiji']"
Ginga Eiyuu Densetsu,https://myanimelist.net/manga/6978/Ginga_Eiyuu_Densetsu,8.59,274.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Tanaka, Yoshiki', 'Katou, Naoyuki', 'Kamoshita, Yukihisa']"
Tian Guan Ci Fu,https://myanimelist.net/manga/140765/Tian_Guan_Ci_Fu,8.59,644.0,"['Action', 'Adventure', 'Boys Love', 'Drama', 'Supernatural']","['Mo Xiang Tong Xiu', 'STARember']"
Kaoru Hana wa Rin to Saku,https://myanimelist.net/manga/144267/Kaoru_Hana_wa_Rin_to_Saku,8.59,1133.0,"['Drama', 'Romance']","['Mikami, Saka']"
Tongari Boushi no Atelier,https://myanimelist.net/manga/100035/Tongari_Boushi_no_Atelier,8.59,3896.0,[],"['Shirahama, Kamome']"
Wind Breaker,https://myanimelist.net/manga/103237/Wind_Breaker,8.59,2608.0,"['Action', 'Drama', 'Sports']","['Jo, Yongseok']"
Shigatsu wa Kimi no Uso,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso,8.59,2607.0,"['Award Winning', 'Drama', 'Romance']","['Arakawa, Naoshi']"
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,https://myanimelist.net/manga/23900/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_7__Requiem_of_the_Golden_Witch,8.58,310.0,"['Drama', 'Mystery', 'Supernatural', 'Suspense']","['Mizuno, Eita', 'Ryukishi07']"
Jibaku Shounen Hanako-kun,https://myanimelist.net/manga/105084/Jibaku_Shounen_Hanako-kun,8.58,10459.0,[],"['Aida, Iro']"
Skip Beat!,https://myanimelist.net/manga/610/Skip_Beat,8.57,9117.0,"['Comedy', 'Drama', 'Romance']","['Nakamura, Yoshiki']"
Neon Genesis Evangelion,https://myanimelist.net/manga/698/Neon_Genesis_Evangelion,8.57,,[],[]
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,8.57,,[],[]
Pandora Hearts,https://myanimelist.net/manga/3031/Pandora_Hearts,8.57,16159.0,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural']","['Mochizuki, Jun']"
Rurouni Kenshin: Meiji Kenkaku Romantan,https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,8.56,,[],[]
Kara no Kyoukai: The Garden of Sinners,https://myanimelist.net/manga/2062/Kara_no_Kyoukai__The_Garden_of_Sinners,8.56,523.0,"['Fantasy', 'Horror', 'Mystery', 'Supernatural']","['Type-Moon', 'Nasu, Kinoko', 'Takeuchi, Takashi']"
One Outs,https://myanimelist.net/manga/11327/One_Outs,8.56,,[],[]
Otoyomegatari,https://myanimelist.net/manga/11514/Otoyomegatari,8.56,2489.0,"['Award Winning', 'Romance', 'Slice of Life']","['Mori, Kaoru']"
Diamond no Ace Act II,https://myanimelist.net/manga/92559/Diamond_no_Ace_Act_II,8.56,1001.0,[],"['Terajima, Yuuji']"
Monogatari Series: Monster Season,https://myanimelist.net/manga/108177/Monogatari_Series__Monster_Season,8.56,,[],[]
Blue Lock,https://myanimelist.net/manga/114745/Blue_Lock,8.56,11063.0,"['Award Winning', 'Sports']","['Kaneshiro, Muneyuki', 'Nomura, Yuusuke']"
Shingeki no Kyojin,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin,8.56,,[],[]
Monogatari Series: Off Season,https://myanimelist.net/manga/93097/Monogatari_Series__Off_Season,8.55,112.0,"['Comedy', 'Drama', 'Mystery', 'Supernatural']","['NISIO, ISIN', 'VOFAN']"
Suzumiya Haruhi Series,https://myanimelist.net/manga/3083/Suzumiya_Haruhi_Series,8.55,,[],[]
Chihayafuru,https://myanimelist.net/manga/13245/Chihayafuru,8.55,2447.0,"['Award Winning', 'Drama']","['Suetsugu, Yuki']"
Tobaku Datenroku Kaiji: One Poker-hen,https://myanimelist.net/manga/61579/Tobaku_Datenroku_Kaiji__One_Poker-hen,8.55,390.0,[],"['Fukumoto, Nobuyuki']"
Given,https://myanimelist.net/manga/79085/Given,8.55,,[],[]
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,https://myanimelist.net/manga/81211/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,8.55,,[],[]
Baccano!,https://myanimelist.net/manga/1342/Baccano,8.54,,[],[]
Kamisama Hajimemashita,https://myanimelist.net/manga/8157/Kamisama_Hajimemashita,8.54,,[],[]
Kakukaku Shikajika,https://myanimelist.net/manga/44307/Kakukaku_Shikajika,8.54,,[],[]
Sasaki to Miyano,https://myanimelist.net/manga/101396/Sasaki_to_Miyano,8.54,,[],[]
Kidou Senshi Gundam: The Origin,https://myanimelist.net/manga/214/Kidou_Senshi_Gundam__The_Origin,8.53,,[],[]
Fate/Zero,https://myanimelist.net/manga/3649/Fate_Zero,8.53,921.0,"['Action', 'Fantasy', 'Supernatural']","['Takeuchi, Takashi', 'Urobuchi, Gen']"
Watashitachi no Shiawase na Jikan,https://myanimelist.net/manga/11734/Watashitachi_no_Shiawase_na_Jikan,8.53,4844.0,"['Drama', 'Romance', 'Slice of Life']","['Yumeka, Sumomo']"
Jujutsu Kaisen,https://myanimelist.net/manga/113138/Jujutsu_Kaisen,8.53,,[],[]
Kimi wa Houkago Insomnia,https://myanimelist.net/manga/121213/Kimi_wa_Houkago_Insomnia,8.53,,[],[]
Mo Dao Zu Shi,https://myanimelist.net/manga/121405/Mo_Dao_Zu_Shi,8.53,448.0,"['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural']",['Mo Xiang Tong Xiu']
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,https://myanimelist.net/manga/123649/Otonari_no_Tenshi-sama_ni_Itsunomanika_Dame_Ningen_ni_Sareteita_Ken,8.52,,[],[]
Souyaku Toaru Majutsu no Index,https://myanimelist.net/manga/124374/Souyaku_Toaru_Majutsu_no_Index,8.52,,[],[]
Sakamichi no Apollon,https://myanimelist.net/manga/28393/Sakamichi_no_Apollon,8.52,,[],[]
Tokyo Ghoul,https://myanimelist.net/manga/33327/Tokyo_Ghoul,8.52,,[],[]
Steins;Gate,https://myanimelist.net/manga/39859/Steins_Gate,8.52,180.0,"['Sci-Fi', 'Suspense']","['Sakai, Kyuuta', 'Miwa, Kiyomune']"
Fruits Basket,https://myanimelist.net/manga/102/Fruits_Basket,8.52,14314.0,"['Award Winning', 'Drama', 'Romance', 'Supernatural']","['Takaya, Natsuki']"
Omniscient Reader,https://myanimelist.net/manga/143441/Omniscient_Reader,8.52,,[],[]
Bakemonogatari,https://myanimelist.net/manga/113010/Bakemonogatari,8.51,,[],[]
Bungou Stray Dogs,https://myanimelist.net/manga/56529/Bungou_Stray_Dogs,8.51,,[],[]
"Ohayou, Ibarahime",https://myanimelist.net/manga/88639/Ohayou_Ibarahime,8.51,,[],[]
Tensei shitara Slime Datta Ken,https://myanimelist.net/manga/87610/Tensei_shitara_Slime_Datta_Ken,8.5,,[],[]
Bastard,https://myanimelist.net/manga/111213/Bastard,8.5,6412.0,"['Drama', 'Horror', 'Mystery', 'Romance']","['Kim, Carnby', 'Hwang, Young-chan']"
Berserk: Shinen no Kami 2,https://myanimelist.net/manga/92299/Berserk__Shinen_no_Kami_2,8.5,,[],[]
Vanitas no Karte,https://myanimelist.net/manga/93753/Vanitas_no_Karte,8.5,3325.0,"['Fantasy', 'Supernatural']","['Mochizuki, Jun']"
Shimanami Tasogare,https://myanimelist.net/manga/97244/Shimanami_Tasogare,8.5,,[],[]
Kimi no Suizou wo Tabetai,https://myanimelist.net/manga/104538/Kimi_no_Suizou_wo_Tabetai,8.5,,[],[]
Ouran Koukou Host Club,https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club,8.5,7935.0,"['Comedy', 'Drama', 'Romance']","['Hatori, Bisco']"
Ping Pong,https://myanimelist.net/manga/5744/Ping_Pong,8.5,622.0,"['Drama', 'Sports']","['Matsumoto, Taiyou']"
Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,https://myanimelist.net/manga/21498/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_5__End_of_the_Golden_Witch,8.5,,[],[]
Spirit Circle,https://myanimelist.net/manga/38071/Spirit_Circle,8.5,,[],[]
Chikan Otoko,https://myanimelist.net/manga/46282/Chikan_Otoko,8.5,,[],[]
blanc,https://myanimelist.net/manga/112988/blanc,8.49,149.0,"['Boys Love', 'Drama', 'Slice of Life']","['Nakamura, Asumiko']"
19 Tian,https://myanimelist.net/manga/116312/19_Tian,8.49,462.0,"['Boys Love', 'Comedy']",['Old Xian']
Umineko no Naku Koro ni,https://myanimelist.net/manga/66517/Umineko_no_Naku_Koro_ni,8.49,,[],[]
JoJo no Kimyou na Bouken Part 8: JoJolion,https://myanimelist.net/manga/25515/JoJo_no_Kimyou_na_Bouken_Part_8__JoJolion,8.48,,[],[]
Hinamatsuri,https://myanimelist.net/manga/36413/Hinamatsuri,8.48,,[],[]
Cross Game,https://myanimelist.net/manga/1183/Cross_Game,8.48,,[],[]
Kyou kara Ore wa!!,https://myanimelist.net/manga/6812/Kyou_kara_Ore_wa,8.48,915.0,"['Action', 'Comedy']","['Nishimori, Hiroyuki']"
Eyeshield 21,https://myanimelist.net/manga/43/Eyeshield_21,8.47,,[],[]
Glass no Kamen,https://myanimelist.net/manga/1469/Glass_no_Kamen,8.47,382.0,"['Drama', 'Romance']","['Miuchi, Suzue']"
Rainbow: Nisha Rokubou no Shichinin,https://myanimelist.net/manga/7482/Rainbow__Nisha_Rokubou_no_Shichinin,8.47,830.0,"['Award Winning', 'Drama']","['Abe, George', 'Kakizaki, Masasumi']"
Kami nomi zo Shiru Sekai,https://myanimelist.net/manga/7519/Kami_nomi_zo_Shiru_Sekai,8.47,9156.0,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']","['Wakaki, Tamiki']"
The Fable,https://myanimelist.net/manga/87844/The_Fable,8.47,929.0,"['Award Winning', 'Comedy']","['Minami, Katsuhisa']"
No Game No Life,https://myanimelist.net/manga/48399/No_Game_No_Life,8.47,,[],[]
Holyland,https://myanimelist.net/manga/3285/Holyland,8.46,,[],[]
Fullmetal Alchemist,https://myanimelist.net/manga/4658/Fullmetal_Alchemist,8.46,,[],[]
Billy Bat,https://myanimelist.net/manga/11054/Billy_Bat,8.46,,[],[]
Skip to Loafer,https://myanimelist.net/manga/118289/Skip_to_Loafer,8.46,937.0,"['Award Winning', 'Drama']","['Takamatsu, Misaki']"
Yuukoku no Moriarty,https://myanimelist.net/manga/100323/Yuukoku_no_Moriarty,8.46,1904.0,"['Mystery', 'Suspense']","['Takeuchi, Ryousuke', 'Miyoshi, Hikaru']"
Kusuriya no Hitorigoto,https://myanimelist.net/manga/107562/Kusuriya_no_Hitorigoto,8.45,1663.0,"['Drama', 'Mystery']","['Hyuuga, Natsu', 'Nekokurage', 'Nanao, Itsuki']"
Doraemon,https://myanimelist.net/manga/1032/Doraemon,8.45,862.0,"['Adventure', 'Award Winning', 'Comedy', 'Sci-Fi', 'Slice of Life']","['Fujiko, Fujio F.']"
Ookami to Koushinryou,https://myanimelist.net/manga/3299/Ookami_to_Koushinryou,8.45,2063.0,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","['Koume, Keito', 'Hasekura, Isuna']"
Gekkan Shoujo Nozaki-kun,https://myanimelist.net/manga/29211/Gekkan_Shoujo_Nozaki-kun,8.45,3828.0,"['Comedy', 'Romance']","['Tsubaki, Izumi']"
Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,https://myanimelist.net/manga/115506/Yagate_Kimi_ni_Naru__Saeki_Sayaka_ni_Tsuite,8.45,192.0,"['Drama', 'Girls Love']","['Iruma, Hitoma', 'Nakatani, Nio']"
